,1995,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Ümumi daxili məhsul,"43721,7","84862,4","98100,9","118211,6","168040,4","232441,6","305796,5","405657,3","544958,9","795763,6","973649,3","1171305,7","1786341,6","2103424,3","2338927,7","2391004,2","2467422,4","2582361,4","2701663,0","2773020,5","2839650,0","2907810,5","3016315,0","2990130,1","1424277,8","1539514,5"
Sənaye məhsulu,"9133,4","13765,4","11390,9","15627,9","17600,3","25555,0","41207,3","70443,6","122679,5","164451,9","212469,1","318564,8","680921,2","799492,4","862870,5","891486,4","916817,9","942944,7","967060,0","990067,0","1014971,5","1040475,9","1069655,7","1048584,9","595295,5","467196,3"
Əsas kapitala yönəldilən vəsaitlər,3049.0,"12449,9","14419,6","15525,1","63210,3","80196,1","126051,7","191757,2","222948,0","309598,1","411522,0","501105,5","815572,6","982264,7","1037748,4","924628,6","951196,5","997609,0","1005761,0","1017079,0","1029283,9","1041017,7","1062165,8","995958,3","166751,3","270573,8"
Kənd təsərrüfatı məhsulu,"38572,2","55408,2","62288,6","69243,6","71822,1","78054,9","98255,1","109005,1","122415,9","153417,5","185117,2","247126,6","296117,0","318836,0","337127,2","355156,7","402991,8","429448,4","453364,5","480021,2","507641,6","537584,8","573380,7","590649,7","358429,4","382206,2"
Nəqliyyat sektorunda yük daşınması (min ton),"632,6",3721,"4597,5","4841,3","5949,1","6200,0","7041,2","7505,2","8041,5","8702,1","9723,0","11152,7","12717,3","13952,4","15280,2","15564,1","15898,3","16082,7","16323,4","16628,5","16961,1","16757,6","16901,7","16926,9","7076,4","7151,2"
İnformasiya və rabitə xidmətləri,"420,3","2448,4","2943,9","3689,2","4366,6","6241,1","9014,2","10441,6","16207,6","23208,8","31119,9","36579,3","39269,4","42474,2","45051,9","46085,5","46908,4","48727,2","49700,0","51325,1","52762,2","55491,3","59331,2","60367,4","34242,7","35763,1"
Pərakəndə əmtəə dövriyyəsi,"36511,2","66925,3","72390,1","81707,8","99870,2","118451,9","147971,7","199888,2","259828,2","406448,8","484777,5","616454,4","815248,6","975352,6","1108699,1","1144494,4","1276986,7","1506343,6","1659917,9","1702011,3","1725839,5","1737755,2","1790453,2","1819458,3","1186277,9","1212533,8"
Əhaliyə göstərilən ödənişli xidmətlər,"3837,7","10726,5","11042,9","11693,1","13961,4","21311,3","26301,6","32328,5","50112,9","69299,7","87255,8","107242,3","126780,6","149734,9","180737,6","187086,4","195829,5","213651,4","235959,3","239897,9","242776,7","243489,3","249938,1","253012,2","178174,4","185871,6"
Orta aylıq nominal əməkhaqqı (manat),"15,9","29,2","31,0","32,2","38,4","68,0","86,0","110,2","153,9","235,2","272,3","302,6","341,4","365,1","376,6","391,3","399,5","413,2","420,1","433,0","484,8","535,8","553,6","611,4","689,0","782,4"
